,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stakeholder engagement scales,,,,,,,,,,,,,,,,,,,,,,,,
2020,Chen C. F. Feng K. L. & Ma H. W. (2020). Uncover the interdependent environmental impacts associated with the water-energy-food nexus under resource management strategies. Resources Conservation and Recycling 160 104909.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020,Chen I. C. Wang Y. H. Lin W. & Ma H. W. (2020). Assessing the risk of the food-energy-water nexus of urban metabolism: A case study of Kinmen Island Taiwan. Ecological Indicators 110 105861.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,Chen J. Zhou Z. Chen L. & Ding T. (2020). Optimization of regional water-energy-food systems based on interval number multi-objective programming: a case study of Ordos China. International Journal of Environmental Research and Public Health 17(20) 7508.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,1,0,1,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,Chen W. & Chen Y. (2021). Two-step measurement of Water–Energy–Food symbiotic coordination and identification of key influencing factors in the Yangtze River Basin. Entropy 23(7) 798.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,1,0,0,1,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022,Chibarabada T. P. Mabaya G. Nhamo L. Mpandeli S. Liphadzi S. Kujinga K. K. ... & Jacobson M. G. (2022). Building capacity for upscaling the WEF nexus and guiding transformational change in Africa. In Water-Energy-Food Nexus Narratives and Resource Securities (pp. 299-320). Elsevier.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2021,Chong C. T. Loe T. Y. Wong K. Y. Ashokkumar V. Lam S. S. Chong W. T. ... & Ng J. H. (2021). Biodiesel sustainability: The global impact of potential biodiesel production on the energy–water–food (EWF) nexus. Environmental Technology & Innovation 22 101408.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,0,0,0,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022,Cook J. Di Martino M. Allen R. C. Pistikopoulos E. N. & Avraamidou S. (2022). A decision-making framework for the optimal design of renewable energy systems under energy-water-land nexus considerations. Science of The Total Environment 827 154185.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022,Cooper C. M. Troutman J. P. Awal R. Habibi H. & Fares A. (2022). Climate change-induced variations in blue and green water usage in US urban agriculture. Journal of Cleaner Production 348 131326.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,0,0,0,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022,Correa-Cano M. E. Salmoral G. Rey D. Knox J. W. Graves A. Melo O. ... & Yan X. (2022). A novel modelling toolkit for unpacking the Water-Energy-Food-Environment (WEFE) nexus of agricultural development. Renewable and Sustainable Energy Reviews 159 112182.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,1,1,1,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,Coudard A. Corbin E. de Koning J. I. J. C. Tukker A. & Mogollón J. M. (2021). Global water and energy losses from consumer avoidable food waste. Journal of Cleaner Production 326 129342.,N,N,0,0,0,0,0,0,0,Y,0,1,0,1,0,1,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022,Cui S. Wu M. Huang X. Wang X. & Cao X. (2022). Sustainability and assessment of factors driving the water-energy-food nexus in pumped irrigation systems. Agricultural Water Management 272 107846.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019,Daher B. et al. Towards bridging the water gap in Texas: A water-energy-food nexus approach. Science of The Total Environment 647 449–463 (2019).,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,1,0,1,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015,Daher B. T. & Mohtar R. H. Water–energy–food (WEF) Nexus Tool 2.0: guiding integrative resource planning and decision-making. Water International 40 748–771 (2015).,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,Daher B. Hannibal B. Mohtar R. H. & Portney K. Toward understanding the convergence of researcher and stakeholder perspectives related to water-energy-food (WEF) challenges: The case of San Antonio Texas. Environmental Science & Policy 104 20–35 (2020).,N,N,0,0,0,0,0,0,0,N,0,1,0,0,1,0,1,0,1,0,Y,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,Daher B. Hannibal B. Portney K. E. & Mohtar R. H. Toward creating an environment of cooperation between water energy and food stakeholders in San Antonio. Science of The Total Environment 651 2913–2926 (2019).,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,0,1,0,1,0,Y,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,Das A. Sahoo B. & Panda S. N. (2020). Evaluation of nexus-sustainability and conventional approaches for optimal water-energy-land-crop planning in an irrigated canal command. Water Resources Management 34 2329-2351.,N,N,0,0,0,0,0,0,0,N,0,0,0,0,1,0,0,0,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016,Davis S. C. et al. Closing the loop: integrative systems management of waste in food energy and water systems. J Environ Stud Sci 6 11–24 (2016).,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,1,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,de Araujo H. F. Machado C. C. Pareyn F. G. do Nascimento N. F. Araújo L. D. de AP Borges L. A. ... & da Silva J. M. C. (2021). A sustainable agricultural landscape model for tropical drylands. Land use policy 100 104913.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,1,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,de Vos L. Biemans H. Doelman J. C. Stehfest E. & van Vuuren D. P. (2021). Trade-offs between water needs for food utilities and the environment—a nexus quantification at different scales. Environmental Research Letters 16(11) 115003.,N,N,0,0,0,0,0,0,0,Y,0,0,0,1,1,1,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022,Del Borghi A. Tacchino V. Moreschi L. Matarazzo A. Gallo M. & Vazquez D. A. (2022). Environmental assessment of vegetable crops towards the water-energy-food nexus: A combination of precision agriculture and life cycle assessment. Ecological Indicators 140 109015.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,1,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021,Deng C. Wang H. Hong S. Zhao W. & Wang C. (2021). Meeting the challenges of food-energy-water systems in typical mega-urban regions from final demands and supply chains: A case study of the Bohai mega-urban region China. Journal of cleaner production 320 128663.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,1,1,0,0,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020,Deng H. M. Wang C. Cai W. J. Liu Y. & Zhang L. X. (2020). Managing the water-energy-food nexus in China by adjusting critical final demands and supply chains: An input-output analysis. Science of the Total Environment 720 137635.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,1,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023,Dhaarna Devadas V. (2023). Stakeholder opinion-based development index (SODI): an empirical study of people’s perspective in the purview of water–energy–food nexus. Environment Development and Sustainability 1-25.,N,N,0,0,0,0,0,0,0,Y,0,0,0,1,1,0,1,0,0,0,Y,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,Di Martino M. Avraamidou S. Cook J. & Pistikopoulos E. N. (2021). An optimization framework for the design of reverse osmosis desalination plants under food-energy-water nexus considerations. Desalination 503 114937.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022,Di Martino M. Namany S. Avraamidou S. Al-Ansari T. Linke P. & Pistikopoulos E. N. (2022). Energy-water Scheduling Decisions for Agricultural Scenario Planning. In Computer Aided Chemical Engineering (Vol. 51 pp. 1573-1578). Elsevier.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,Ding K. J. Gilligan J. M. Yang Y. E. Wolski P. & Hornberger G. M. (2021). Assessing food–energy–water resources management strategies at city scale: An agent-based modeling approach for Cape Town South Africa. Resources Conservation and Recycling 170 105573.,N,N,0,0,0,0,0,0,0,Y,0,1,0,1,1,1,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,Ding T. & Chen J. (2023). Evaluating supply-demand matching of ecosystem services considering water-energy-food nexus and synergies/trade-offs in the Hangzhou of China. Environmental Science and Pollution Research 1-18.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,1,0,1,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,Ding T. Chen J. Fang L. Ji J. & Fang Z. (2023). Urban ecosystem services supply-demand assessment from the perspective of the water-energy-food nexus. Sustainable Cities and Society 104401.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,1,1,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,Ding T. Fang L. Chen J. Ji J. & Fang Z. (2023). Exploring the relationship between water-energy-food nexus sustainability and multiple ecosystem services at the urban agglomeration scale. Sustainable Production and Consumption 35 184-200.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,1,1,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020,Do P. et al. Exploring synergies in the water-food-energy nexus by using an integrated hydro-economic optimization model for the Lancang-Mekong River basin. Science of The Total Environment 728 137996 (2020).,N,N,0,0,0,0,0,0,0,Y,0,1,0,1,1,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016,Dong Z. et al. Autonomous real-time water quality sensing as an alternative to conventional monitoring to improve the detection of food energy and water indicators. J Environ Stud Sci 6 200–207 (2016).,N,N,0,0,0,0,0,0,0,N,0,1,0,1,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,Dorr E. Hawes J. K. Goldstein B. Fargue-Lelièvre A. Fox-Kämper R. Specht K. ... & Grard B. (2023). Food production and resource use of urban farms and gardens: a five-country study. Agronomy for Sustainable Development 43(1) 18.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,1,1,0,1,0,Y,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,Du S. Liu G. Li H. Zhang W. & Santagata R. (2022). System dynamic analysis of urban household food-energy-water nexus in Melbourne (Australia). Journal of Cleaner Production 379 134675.,N,N,0,0,0,0,0,0,0,Y,0,1,0,1,0,1,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,El Ouadi I. (2023). Understanding the Climate–Water–Energy–Food Nexus and the Transition Towards a Circular Economy: The Case of Morocco. In E3S Web of Conferences (Vol. 364 p. 01006). EDP Sciences.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,1,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021,El-Gafy I. & Apul D. (2021). Expanding the Dynamic Modeling of Water-Food-Energy Nexus to Include Environmental Economic and Social Aspects Based on Life Cycle Assessment Thinking. Water Resources Management 35(13) 4349-4362.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,Elagib N. A. Gayoum Saad S. A. Basheer M. Rahma A. E. & Gore E. D. L. (2021). Exploring the urban water-energy-food nexus under environmental hazards within the Nile. Stochastic Environmental Research and Risk Assessment 35 21-41.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,1,0,0,1,0,Y,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2023,Elkamel M. Rabelo L. & Sarmiento A. T. (2023). Agent-Based Simulation and Micro Supply Chain of the Food–Energy–Water Nexus for Collaborating Urban Farms and the Incorporation of a Community Microgrid Based on Renewable Energy. Energies 16(6) 2614.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,Elkamel M. Valencia A. Zhang W. Zheng Q. P. & Chang N. B. (2023). Multi-agent modeling for linking a green transportation system with an urban agriculture network in a food-energy-water nexus. Sustainable Cities and Society 89 104354.,N,N,0,0,0,0,0,0,0,N,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,Elsayed H. Djordjevic S. Savic D. Tsoukalas I. & Makropoulos C. (2022). Water-food-energy nexus for transboundary cooperation in Eastern Africa. Water Supply 22(4) 3567-3587.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2023,Emamjomehzadeh O. Kerachian R. Emami-Skardi M. J. & Momeni M. (2023). Combining urban metabolism and reinforcement learning concepts for sustainable water resources management: A nexus approach. Journal of Environmental Management 329 117046.,Y,N,0,1,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,Enayati M. Bozorg-Haddad O. Fallah-Mehdipour E. Zolghadr-Asli B. & Chu X. (2021). A robust multiple-objective decision-making paradigm based on the water–energy–food security nexus under changing climate uncertainties. Scientific Reports 11(1) 20927.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,0,0,0,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015,Endo et al. 2015 Methods of the Water-Energy-Food Nexus doi:10.3390/w7105806,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,1,1,0,0,Y,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2018,Endo A. et al. Describing and Visualizing a Water–Energy–Food Nexus System. Water 10 1245 (2018).,N,N,0,0,0,0,0,0,0,N,0,1,0,1,1,0,1,1,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,Entrena-Barbero E. Ceballos S. Cortés A. Esteve-Llorens X. Moreira M. T. Villanueva-Rey P. ... & Feijoo G. (2023). Methodological guidelines for the calculation of a Water-Energy-Food nexus index for seafood products. Science of The Total Environment 162845.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,1,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2023,Entrena-Barbero E. Rebolledo-Leiva R. Vásquez-Ibarra L. Fernández M. Feijoo G. González-García S. & Moreira M. T. (2023). Water-Energy-Food nexus index proposal as a sustainability criterion on dairy farms. Science of the Total Environment 162507.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,Fabiani S. Vanino S. Napoli R. & Nino P. (2020). Water energy food nexus approach for sustainability assessment at farm level: An experience from an intensive agricultural area in central Italy. Environmental Science & Policy 104 1-12.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,Fabiani S. Vanino S. Napoli R. Zajíček A. Duffková R. Evangelou E. & Nino P. (2020). Assessment of the economic and environmental sustainability of Variable Rate Technology (VRT) application in different wheat intensive European agricultural areas. A Water energy food nexus approach. Environmental Science & Policy 114 366-376.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,1,0,0,1,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,Fagodiya R. K. Singh A. Singh R. Rani S. Kumar S. Rai A. K. ... & Chaudhari S. K. (2023). The food-energy-water-carbon nexus of the rice-wheat production system in the western Indo-Gangetic Plain of India: An impact of irrigation system conservational tillage and residue management. Science of The Total Environment 860 160428.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,1,0,0,0,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022,Falchetta G. Adeleke A. Awais M. Byers E. Copinschi P. Duby S. ... & Hafner M. (2022). A renewable energy-centred research agenda for planning and financing Nexus development objectives in rural sub-Saharan Africa. Energy Strategy Reviews 43 100922.,N,N,0,0,0,0,0,0,0,Y,0,1,0,1,1,0,1,0,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020,Falconer R. E. Haltas I. Varga L. Forbes P. J. Abdel-Aal M. & Panayotov N. (2020). Anaerobic Digestion of food waste: Eliciting sustainable water-energy-food nexus practices with Agent Based Modelling and visual analytics. Journal of Cleaner Production 255 120060.,N,N,0,0,0,0,0,0,0,N,0,1,0,1,0,0,0,0,0,0,Y,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2022,Farrar L. W. Bahaj A. S. James P. Anwar A. & Amdar N. (2022). Floating solar PV to reduce water evaporation in water stressed regions and powering water pumping: Case study Jordan. Energy Conversion and Management 260 115598.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,1,1,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,"Feng B. van Dam K. H. Guo M. Shah N. Passmore S. & Wang X. (2020). Planning of Food-Energy-Water-Waste (FEW2) nexus for sustainable development. BMC Chemical Engineering, 2(1) 1-19.",N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022,Feng M. Chen Y. Duan W. Fang G. Jiao L. Sun F. ... & Hou Y. (2022). Comprehensive evaluation of the water-energy-food nexus in the agricultural management of the Tarim River Basin Northwest China. Agricultural Water Management 271 107811.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,1,1,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020,Feng Y. Zhong F. Huang C. Gu J. Ge Y. & Song X. (2020). Spatiotemporal distribution and the driving force of the food-energy-water nexus index in Zhangye Northwest China. Sustainability 12(6) 2309.,N,N,0,0,0,0,0,0,0,N,0,0,0,1,1,0,0,1,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,Fernández-Ríos A. Laso J. Amo-Setién F. J. Abajas-Bustillo R. Ortego-Mate C. Fullana-i-Palmer P. ... & Margallo M. (2022). Water–Energy–Food Nexus and Life Cycle Thinking: A New Approach to Environmental and Nutritional Assessment of Potato Chips. Foods 11(7) 1018.,N,N,0,0,0,0,0,0,0,Y,0,1,0,1,1,0,1,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,Fetanat A. Tayebi M. & Mofid H. (2021). Water-energy-food security nexus based selection of energy recovery from wastewater treatment technologies: An extended decision making framework under intuitionistic fuzzy environment. Sustainable Energy Technologies and Assessments 43 100937.,N,N,0,0,0,0,0,0,0,Y,0,1,0,1,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,Fleischmann J. Blechinger P. Ribbe L. Nauditt A. El Achkar J. H. Tiwari K. ... & Platzer W. (2023). OWEFE—open modeling framework for integrated water energy food and environment systems. Environmental Research: Infrastructure and Sustainability 3(1) 015006.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,1,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,Fouladi J. AlNouss A. & Al-Ansari T. (2021). Sustainable energy-water-food nexus integration and optimisation in eco-industrial parks. Computers & Chemical Engineering 146 107229.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,Francisco É. C. de Arruda Ignácio P. S. Piolli A. L. & Dal Poz M. E. S. (2023). Food-energy-water (FEW) nexus: Sustainable food production governance through system dynamics modeling. Journal of Cleaner Production 386 135825.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,1,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2022,Fu Y. Ren Y. & Pei W. (2022). Evaluation of the symbiosis level of the water-energy-food complex system based on the improved cloud model: a case study in Heilongjiang Province. Environmental Science and Pollution Research 1-22.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022,Gaddam S. J. & Sampath P. V. (2022). Are multiscale water–energy–land–food nexus studies effective in assessing agricultural sustainability?. Environmental Research Letters 17(1) 014034.,N,N,0,0,0,0,0,0,0,N,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,Gao J. Xu X. Cao G. Ermoliev Y. M. Ermolieva T. Y. & Rovenskaya E. A. (2021). Strategic decision-support modeling for robust management of the food–energy–water nexus under uncertainty. Journal of Cleaner Production 292 125995.,N,N,0,0,0,0,0,0,0,N,0,0,0,1,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020,"Gathala M. K. Laing A. M. Tiwari T. P. Timsina J. Islam M. S. Chowdhury A. K. ... & Gerard B. (2020). Enabling smallholder farmers to sustainably improve their food, energy and water nexus while achieving environmental and economic benefits. Renewable and Sustainable Energy Reviews 120 109645.",Y,Y,1,0,0,1,0,0,0,Y,0,0,0,0,0,0,0,0,1,0,Y,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2022,Ge M. Yu K. Ding A. & Liu G. (2022). Input-output efficiency of water-energy-food and its driving forces: spatial-temporal heterogeneity of Yangtze River Economic Belt China. International Journal of Environmental Research and Public Health 19(3) 1340.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,1,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020,Gebreyes  et al 2020 Local perceptions of WEF security: Livelihood Consequences of Dam Construction in Ethiopia doi:10.3390/su12062161,N,N,0,0,0,0,0,0,0,N,0,0,0,0,1,0,1,0,0,0,Y,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2018,Gençer E. & Agrawal R. Toward supplying food energy and water demand: Integrated solar desalination process synthesis with power and hydrogen coproduction. Resources Conservation and Recycling 133 331–342 (2018).,N,N,0,0,0,0,0,0,0,N,0,1,0,0,1,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
